1 9 10 19 20 25 34 35 42 46 50 55 60 69 71 79 82 86 92 95 
3 6 12 17 24 29 33 35 42 47 53 56 61 68 70 79 81 86 91 95 
2 9 10 15 23 27 31 38 40 48 50 55 61 67 72 78 81 85 93 96 
0 8 14 18 24 29 34 37 42 46 52 55 62 65 72 75 84 88 93 99 
3 8 14 15 22 28 30 39 43 48 52 58 64 66 74 78 82 88 92 99 
1 9 11 18 21 25 31 35 43 46 54 59 62 65 74 79 83 89 93 99 
4 7 14 15 20 28 30 39 42 47 51 55 64 67 74 75 83 85 91 98 
1 7 12 18 23 28 33 38 44 48 52 56 63 67 71 78 82 89 93 99 
1 9 12 15 23 26 31 38 43 47 54 56 61 68 70 79 82 85 90 98 
0 7 14 18 21 28 34 39 42 49 50 55 63 67 71 78 80 89 94 98 
3 8 10 19 21 27 31 38 44 46 54 59 60 68 73 79 83 89 93 95 
3 5 11 16 20 29 31 35 43 45 51 58 63 68 72 77 82 88 92 96 
1 6 10 17 22 25 31 35 44 46 53 57 63 66 70 78 80 87 91 95 
4 9 13 18 24 27 30 36 43 49 52 59 61 67 73 78 83 89 93 99 
2 6 12 16 22 27 31 39 41 49 54 56 63 69 71 77 82 88 93 97 
2 5 11 18 20 25 31 35 41 47 54 56 60 66 74 75 81 85 94 97 
0 6 10 15 22 26 33 39 44 48 53 59 61 65 72 76 82 86 91 95 
0 7 11 15 24 25 30 35 43 47 54 58 63 65 70 75 83 85 92 95 
4 5 14 17 22 28 33 36 41 46 52 56 63 68 74 79 81 89 91 99 
3 8 14 16 23 29 34 38 40 48 53 59 60 69 71 75 80 86 91 96 
4 8 13 19 24 27 31 35 43 47 54 57 60 65 70 75 84 86 94 99 
4 9 10 17 21 28 32 36 41 48 52 57 62 67 72 76 81 88 93 97 
2 9 14 18 24 26 30 35 43 46 50 59 63 67 71 79 81 88 90 99 
4 9 12 18 22 26 31 38 41 49 50 58 63 66 73 79 80 89 94 98 
2 6 14 15 24 26 34 37 41 49 53 57 64 65 70 78 81 86 93 97 
2 9 13 15 22 26 31 37 42 48 52 55 64 67 70 78 80 87 92 98 
3 6 11 19 23 28 32 37 40 46 54 57 62 69 70 76 81 86 94 95 
4 8 10 16 20 28 31 37 40 49 51 55 62 69 70 75 82 89 92 97 
0 9 12 19 20 27 31 36 40 47 54 57 60 69 70 78 84 86 90 96 
2 8 12 19 22 29 32 35 43 46 54 56 62 66 70 78 80 88 94 98 
2 8 12 18 20 27 33 36 43 48 53 56 62 67 72 76 81 89 93 99 
1 8 10 15 21 28 33 39 43 45 52 56 60 69 74 75 81 87 94 96 
2 7 12 16 24 25 30 37 41 48 51 59 63 69 70 77 84 88 91 97 
3 5 13 19 21 29 31 39 43 45 50 58 64 68 74 75 80 89 92 96 
0 6 13 18 22 28 30 36 41 48 50 57 63 69 73 76 83 89 90 99 
2 6 12 18 21 28 34 36 40 48 54 55 61 69 70 78 82 88 91 96 
1 7 13 17 23 26 33 38 42 49 52 56 62 69 70 78 83 86 91 98 
4 7 10 16 22 25 31 39 43 48 52 57 60 65 74 75 83 89 93 96 
0 6 14 17 22 29 32 37 40 45 50 57 63 67 70 77 83 86 93 98 
4 6 10 16 21 26 31 37 41 45 53 58 63 67 71 75 84 85 93 96 
1 5 13 16 23 28 33 38 40 46 51 56 64 67 70 78 83 88 90 96 
0 5 10 18 24 28 31 38 43 46 50 56 61 68 72 79 84 87 94 96 
